Date,Closing_Price
2021-03-29 00:00:00,121.39
2021-03-30 00:00:00,119.9
2021-03-31 00:00:00,122.15
2021-04-01 00:00:00,123
2021-04-05 00:00:00,125.9
2021-04-06 00:00:00,126.21
2021-04-07 00:00:00,127.9
2021-04-08 00:00:00,130.36
2021-04-09 00:00:00,132.995
2021-04-12 00:00:00,131.24
2021-04-13 00:00:00,134.43
2021-04-14 00:00:00,132.03
2021-04-15 00:00:00,134.5
2021-04-16 00:00:00,134.16
2021-04-19 00:00:00,134.84
2021-04-20 00:00:00,133.11
2021-04-21 00:00:00,133.5
2021-04-22 00:00:00,131.94
2021-04-23 00:00:00,134.32
2021-04-26 00:00:00,134.72
2021-04-27 00:00:00,134.39
2021-04-28 00:00:00,133.58
2021-04-29 00:00:00,133.48
2021-04-30 00:00:00,131.46
2021-05-03 00:00:00,132.54
2021-05-04 00:00:00,127.85
2021-05-05 00:00:00,128.1
2021-05-06 00:00:00,129.74
2021-05-07 00:00:00,130.21
2021-05-10 00:00:00,126.85
2021-05-11 00:00:00,125.91
2021-05-12 00:00:00,122.77
2021-05-13 00:00:00,124.97
2021-05-14 00:00:00,127.45
2021-05-17 00:00:00,126.27
2021-05-18 00:00:00,124.85
2021-05-19 00:00:00,124.69
2021-05-20 00:00:00,127.31
2021-05-21 00:00:00,125.43
2021-05-24 00:00:00,127.1
2021-05-25 00:00:00,126.9
2021-05-26 00:00:00,126.85
2021-05-27 00:00:00,125.28
2021-05-28 00:00:00,124.61
2021-06-01 00:00:00,124.28
2021-06-02 00:00:00,125.06
2021-06-03 00:00:00,123.54
2021-06-04 00:00:00,125.89
2021-06-07 00:00:00,125.9
2021-06-08 00:00:00,126.74
2021-06-09 00:00:00,127.13
2021-06-10 00:00:00,126.11
2021-06-11 00:00:00,127.35
2021-06-14 00:00:00,130.48
2021-06-15 00:00:00,129.64
2021-06-16 00:00:00,130.15
2021-06-17 00:00:00,131.79
2021-06-18 00:00:00,130.46
2021-06-21 00:00:00,132.3
2021-06-22 00:00:00,133.98
2021-06-23 00:00:00,133.7
2021-06-24 00:00:00,133.41
2021-06-25 00:00:00,133.11
2021-06-28 00:00:00,134.78
2021-06-29 00:00:00,136.33
2021-06-30 00:00:00,136.96
2021-07-01 00:00:00,137.27
2021-07-02 00:00:00,139.96
2021-07-06 00:00:00,142.02
2021-07-07 00:00:00,144.57
2021-07-08 00:00:00,143.24
2021-07-09 00:00:00,145.11
2021-07-12 00:00:00,144.5
2021-07-13 00:00:00,145.64
2021-07-14 00:00:00,149.15
2021-07-15 00:00:00,148.48
2021-07-16 00:00:00,146.39
2021-07-19 00:00:00,142.45
2021-07-20 00:00:00,146.15
2021-07-21 00:00:00,145.4
2021-07-22 00:00:00,146.8
2021-07-23 00:00:00,148.56
2021-07-26 00:00:00,148.99
2021-07-27 00:00:00,146.77
2021-07-28 00:00:00,144.98
2021-07-29 00:00:00,145.64
2021-07-30 00:00:00,145.86
2021-08-02 00:00:00,145.52
2021-08-03 00:00:00,147.36
2021-08-04 00:00:00,146.95
2021-08-05 00:00:00,147.06
2021-08-06 00:00:00,146.14
2021-08-09 00:00:00,146.09
2021-08-10 00:00:00,145.6
2021-08-11 00:00:00,145.86
2021-08-12 00:00:00,148.89
2021-08-13 00:00:00,149.1
2021-08-16 00:00:00,151.12
2021-08-17 00:00:00,150.19
2021-08-18 00:00:00,146.36
2021-08-19 00:00:00,146.7
2021-08-20 00:00:00,148.19
2021-08-23 00:00:00,149.71
2021-08-24 00:00:00,149.62
2021-08-25 00:00:00,148.36
2021-08-26 00:00:00,147.54
2021-08-27 00:00:00,148.6
2021-08-30 00:00:00,153.12
2021-08-31 00:00:00,151.83
2021-09-01 00:00:00,152.51
2021-09-02 00:00:00,153.65
2021-09-03 00:00:00,154.3
2021-09-07 00:00:00,156.69
2021-09-08 00:00:00,155.11
2021-09-09 00:00:00,154.07
2021-09-10 00:00:00,148.97
2021-09-13 00:00:00,149.55
2021-09-14 00:00:00,148.12
2021-09-15 00:00:00,149.03
2021-09-16 00:00:00,148.79
2021-09-17 00:00:00,146.06
2021-09-20 00:00:00,142.94
2021-09-21 00:00:00,143.43
2021-09-22 00:00:00,145.85
2021-09-23 00:00:00,146.83
2021-09-24 00:00:00,146.92
2021-09-27 00:00:00,145.37
2021-09-28 00:00:00,141.91
2021-09-29 00:00:00,142.83
2021-09-30 00:00:00,141.5
2021-10-01 00:00:00,142.65
2021-10-04 00:00:00,139.14
2021-10-05 00:00:00,141.11
2021-10-06 00:00:00,142
2021-10-07 00:00:00,143.29
2021-10-08 00:00:00,142.9
2021-10-11 00:00:00,142.81
2021-10-12 00:00:00,141.51
2021-10-13 00:00:00,140.91
2021-10-14 00:00:00,143.76
2021-10-15 00:00:00,144.84
2021-10-18 00:00:00,146.55
2021-10-19 00:00:00,148.76
2021-10-20 00:00:00,149.26
2021-10-21 00:00:00,149.48
2021-10-22 00:00:00,148.69
2021-10-25 00:00:00,148.64
2021-10-26 00:00:00,149.32
2021-10-27 00:00:00,148.85
2021-10-28 00:00:00,152.57
2021-10-29 00:00:00,149.8
2021-11-01 00:00:00,148.96
2021-11-02 00:00:00,150.02
2021-11-03 00:00:00,151.49
2021-11-04 00:00:00,150.96
2021-11-05 00:00:00,151.28
2021-11-08 00:00:00,150.44
2021-11-09 00:00:00,150.81
2021-11-10 00:00:00,147.92
2021-11-11 00:00:00,147.87
2021-11-12 00:00:00,149.99
2021-11-15 00:00:00,150
2021-11-16 00:00:00,151
2021-11-17 00:00:00,153.49
2021-11-18 00:00:00,157.87
2021-11-19 00:00:00,160.55
2021-11-22 00:00:00,161.02
2021-11-23 00:00:00,161.41
2021-11-24 00:00:00,161.94
2021-11-26 00:00:00,156.81
2021-11-29 00:00:00,160.24
2021-11-30 00:00:00,165.3
2021-12-01 00:00:00,164.77
2021-12-02 00:00:00,163.76
2021-12-03 00:00:00,161.84
2021-12-06 00:00:00,165.32
2021-12-07 00:00:00,171.18
2021-12-08 00:00:00,175.08
2021-12-09 00:00:00,174.56
2021-12-10 00:00:00,179.45
2021-12-13 00:00:00,175.74
2021-12-14 00:00:00,174.33
2021-12-15 00:00:00,179.3
2021-12-16 00:00:00,172.26
2021-12-17 00:00:00,171.14
2021-12-20 00:00:00,169.75
2021-12-21 00:00:00,172.99
2021-12-22 00:00:00,175.64
2021-12-23 00:00:00,176.28
2021-12-27 00:00:00,180.33
2021-12-28 00:00:00,179.29
2021-12-29 00:00:00,179.38
2021-12-30 00:00:00,178.2
2021-12-31 00:00:00,177.57
2022-01-03 00:00:00,182.01
2022-01-04 00:00:00,179.7
2022-01-05 00:00:00,174.92
2022-01-06 00:00:00,172
2022-01-07 00:00:00,172.17
2022-01-10 00:00:00,172.19
2022-01-11 00:00:00,175.08
2022-01-12 00:00:00,175.53
2022-01-13 00:00:00,172.19
2022-01-14 00:00:00,173.07
2022-01-18 00:00:00,169.8
2022-01-19 00:00:00,166.23
2022-01-20 00:00:00,164.51
2022-01-21 00:00:00,162.41
2022-01-24 00:00:00,161.62
2022-01-25 00:00:00,159.78
2022-01-26 00:00:00,159.69
2022-01-27 00:00:00,159.22
2022-01-28 00:00:00,170.33
2022-01-31 00:00:00,174.78
2022-02-01 00:00:00,174.61
2022-02-02 00:00:00,175.84
2022-02-03 00:00:00,172.9
2022-02-04 00:00:00,172.39
2022-02-07 00:00:00,171.66
2022-02-08 00:00:00,174.83
2022-02-09 00:00:00,176.28
2022-02-10 00:00:00,172.12
2022-02-11 00:00:00,168.64
2022-02-14 00:00:00,168.88
2022-02-15 00:00:00,172.79
2022-02-16 00:00:00,172.55
2022-02-17 00:00:00,168.88
2022-02-18 00:00:00,167.3
2022-02-22 00:00:00,164.32
2022-02-23 00:00:00,160.07
2022-02-24 00:00:00,162.74
2022-02-25 00:00:00,164.85
2022-02-28 00:00:00,165.12
2022-03-01 00:00:00,163.2
2022-03-02 00:00:00,166.56
2022-03-03 00:00:00,166.23
2022-03-04 00:00:00,163.17
2022-03-07 00:00:00,159.3
2022-03-08 00:00:00,157.44
2022-03-09 00:00:00,162.95
2022-03-10 00:00:00,158.52
2022-03-11 00:00:00,154.73
2022-03-14 00:00:00,150.62
2022-03-15 00:00:00,155.09
2022-03-16 00:00:00,159.59
2022-03-17 00:00:00,160.62
2022-03-18 00:00:00,163.98
2022-03-21 00:00:00,165.38
2022-03-22 00:00:00,168.82
2022-03-23 00:00:00,170.21
2022-03-24 00:00:00,174.07
2022-03-25 00:00:00,174.72
